Purchase Price,SKU,Image,Manufacturer,URL,Sale Price,Price,Description,Markup,Item Type,Item Name
0.00,1001786885,https://images.thdstatic.com/productImages/ab3e82a0-f85a-4f9b-b806-6d36b9d090d8/svn/brown-pressure-treated-lumber-2610254-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-8-ft-2-Pressure-Treated-Ground-Contact-Southern-Pine-Lumber-2610254/206893743,0.00,0.00,"Every piece meets the highest grading standards for strength and appearance. This lumber is pressure-treated with micronized copper azole in order to protect it from termites, fungal decay and rot. Ideal for a variety of applications, including decks, play sets, landscaping, stair support, walkways and other outdoor projects where lumber is exposed to the elements. This lumber can be painted or stained. When used properly, it is both safe and environmentally friendly.",43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 8 ft. #2 Pressure-Treated Ground Contact Southern Pine Lumber
0.00,418879,https://images.thdstatic.com/productImages/7c981e94-83ae-49eb-bec4-d518131e48c4/svn/brown-pressure-treated-lumber-418879-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-12-in-x-8-ft-Pressure-Treated-Lumber-Brown-Stain-Ground-Contact-WW-Actual-1-5-in-x-11-25-in-x-96-in-418879/202273865,0.00,0.00,This 2 in. x 12 in. x 8 ft. Pressure-Treated Lumber features a copper azole coating and dark coloring. Hot dipped galvanized wood fasteners and connectors (not included) are recommended for use with this lumber.,43%,Cost of Goods Sold,Unbranded 2 in. x 12 in. x 8 ft. Pressure-Treated Lumber Brown Stain Ground Contact WW (Actual: 1.5 in. x 11.25 in. x 96 in.)
0.00,226573,https://images.thdstatic.com/productImages/8d68ceb8-aa7e-47dc-8f23-e93b009e9384/svn/framing-lumber-226573-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-2-in-x-8-ft-Premium-S4S-Cedar-Lumber-226573/202086386,0.00,0.00,When planning on building a deck consider the 6 in. 2 in. x 2 in. x 8 ft. Cedar Decking Board. This untreated natural wood board can be stained or painted to match your existing decking decor.,43%,Cost of Goods Sold,Unbranded 2 in. x 2 in. x 8 ft. Premium S4S Cedar Lumber
0.00,1001765206,https://images.thdstatic.com/productImages/4266bb9c-330e-4b5b-aee6-bd493e6508be/svn/brown-pressure-treated-lumber-17463-10-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-4-in-x-10-ft-Brown-Stain-Ground-Contact-Pressure-Treated-Lumber-WW-Actual-1-5-in-x-3-5-in-x-120-in-17463-10/206952293,0.00,0.00,"The 2 in. x 4 in. x 10 ft. Pressure-Treated Western Woods Lumber is ideal for a variety of applications, including decks, landscaping, stair support, walkways and other outdoor projects where lumber is exposed to the elements. Every piece meets the highest grading standards for strength and appearance. This lumber is pressure treated in order to protect it from termites, fungal decay and rot. When used properly, it is both safe and environmentally friendly.",43%,Cost of Goods Sold,Unbranded 2 in. x 4 in. x 10 ft. Brown Stain Ground Contact Pressure-Treated Lumber WW (Actual: 1.5 in. x 3.5 in. x 120 in.)
0.00,1011162953,https://images.thdstatic.com/productImages/712f88b9-407a-4dc4-942f-09ccdf813fd3/svn/framing-lumber-226419-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-4-in-x-117-in-SPF-2-Standard-Grade-Dimensional-Lumber-226419/329584174,0.00,0.00,"Every piece of 2 in. x 4 in. x 117 in. Kiln-Dried Heat Treated Dimensional Lumber meets the grading standards for strength and appearance. This high quality lumber is ideal for a wide range of structural and nonstructural applications including framing of houses, barns, sheds and commercial construction. Perfect for projects that require structural dimensional lumber that meets building codes. It can also be used for furniture and hobbies. As long as lumber is properly primed and painted or sealed and stained it can be used in exterior applications.",43%,Cost of Goods Sold,Unbranded 2 in. x 4 in. x 117 in. SPF #2 Standard Grade Dimensional Lumber
0.00,583977,https://images.thdstatic.com/productImages/716b47d2-24a6-4fcd-8c7d-fa706982e8a9/svn/framing-lumber-12540-12-64_1000.jpg,Millstead,https://www.homedepot.com/p/2-in-x-4-in-x-12-ft-2-Premium-Grade-Southern-Yellow-Pine-Dimensional-Lumber-12540-12/202088230,0.00,0.00,"Every piece meets the highest grading standards for strength and appearance. Dimensional lumber is ideal for a wide range of structural and nonstructural applications including framing of houses, barns, sheds and commercial construction. It can also be used for projects such as furniture and hobbies and comes in a variety of widths and lengths. Dimensional lumber can also be used in exterior applications as long as it is properly primed and painted or sealed and stained.",43%,Cost of Goods Sold,Millstead 2 in. x 4 in. x 12 ft. #2 Premium Grade Southern Yellow Pine Dimensional Lumber
0.00,1001765207,https://images.thdstatic.com/productImages/4266bb9c-330e-4b5b-aee6-bd493e6508be/svn/brown-pressure-treated-lumber-17463-12-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-4-in-x-12-ft-Brown-Stain-Ground-Contact-Pressure-Treated-Lumber-WW-Actual-1-5-in-x-3-5-in-x-144-in-17463-12/206949777,0.00,0.00,The 2 in. x 4 in. x 12 ft. Pressure-Treated Western Wood Lumber is paintable for a customized look. This dimensional lumber should be used with galvanized fasteners and connectors. This lumber can be used in a variety of building applications.,43%,Cost of Goods Sold,Unbranded 2 in. x 4 in. x 12 ft. Brown Stain Ground Contact Pressure-Treated Lumber WW (Actual: 1.5 in. x 3.5 in. x 144 in.)
0.00,593960,https://images.thdstatic.com/productImages/9b0c95a2-f49c-471a-be73-06a1847d0ae0/svn/framing-lumber-593960-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-4-in-x-14-ft-2-Premium-Grade-Fir-Dimensional-Lumber-593960/202094180,0.00,0.00,"Every piece of 2 in. x 4 in. x 14 ft. Premium Standard and Better Fir Lumber meets high grading standards for strength and appearance, and is easy to cut, fasten and paint, making this the best choice for many building projects. This product is third-party certified, signifying sourcing from renewable and environmentally managed forests.",43%,Cost of Goods Sold,Unbranded 2 in. x 4 in. x 14 ft. #2 Premium Grade Fir Dimensional Lumber
0.00,1008305667,https://images.thdstatic.com/productImages/dfec2a06-e59e-4797-9012-4c38669095f6/svn/framing-lumber-s20402-294-16-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-4-in-x-16-ft-2-Standard-Grade-SPF-Dimensional-Lumber-S20402-294-16/321781036,0.00,0.00,"This Canadian made, Spruce-Pine-Fir Lumber dimensional untreated lumber is perfect for a wide range of structural and non-structural applications. It is light, strong, and easy to work with. This product is perfect for any framing application, or DIY project.",43%,Cost of Goods Sold,Unbranded 2 in. x 4 in. x 16 ft. #2 Standard Grade SPF Dimensional Lumber
0.00,1001765208,https://images.thdstatic.com/productImages/07c5caa1-5bbd-4874-a58a-eeca758d2c4a/svn/brown-pressure-treated-lumber-17463-16-64_1000.jpg,Unbranded,https://www.homedepot.com/p/2-in-x-4-in-x-16-ft-Brown-Stain-Ground-Contact-Pressure-Treated-Lumber-WW-Actual-1-5-in-x-3-5-in-x-192-in-17463-16/206949782,0.00,0.00,"The 2 in. x 4 in. x 16 ft. Pressure-Treated Western Wood Lumber is ideal for a variety of applications, including decks, landscaping, stair support, walkways and other outdoor projects where lumber is exposed to the elements. Every piece meets the highest grading standards for strength and appearance. This lumber is pressure treated in order to protect it from termites, fungal decay and rot. When used properly, it is both safe and environmentally friendly.",43%,Cost of Goods Sold,Unbranded 2 in. x 4 in. x 16 ft. Brown Stain Ground Contact Pressure-Treated Lumber WW (Actual: 1.5 in. x 3.5 in. x 192 in.)
